Model,File Name,File Size,Download Link
Lanix X750,Lanix_X750_MT6580_OPEN_SW_01_20200706_10.zip,1.7 GB,https://drive.google.com/file/d/1odXrEmOQU7IfWeGfYvXSXYXN9YLrRjrb/view
Lanix X770,Lanix_X770_OPEN_SW_02_20210903_11_SPD.zip,1.11 GB,https://drive.google.com/file/d/1bYwStktEoAeia9OkfXtwevJ3Tr0HXc4A/view
Lanix X860,Lanix_X860_SC7731E_OPEN_SW_01_HW_01_20210427_SPD.zip,1.22 GB,https://drive.google.com/file/d/16SssVNirMcZ9bUioeMgCIiV1Ai5ngLft/view
Lanix Ilium S420,Lanix_Ilium_S420_MT6572_20140723_4.2.2.zip,862 MB,https://drive.google.com/file/d/1EYGmPY2r5BoTe2IBYZuF1DnddbYWthhy/view
Lanix Ilumin M7s,Lanix_Ilumin_M7s_Telcel_SW_04_V24_20200107_SPD.zip,865 MB,https://drive.google.com/file/d/1ICjU_LYa-wmki59Ek-lKL6wugd_kH9d5/view
Lanix L540,Lanix_L540_SP9832E_Telcel_SW_05_V30_20200107_SPD.zip,849 MB,https://drive.google.com/file/d/1LOGCg5fMhd88g5lZFqDqDIsFbRWdvDvo/view
Lanix U340,Lanix_U340_MT6572_OPEN_SW_01_MP2_20200716.zip,158 MB,https://drive.google.com/file/d/1GlGipndXQBy4iaaJPUtB4rrNPG5Yf6mo/view
Lanix X120c,Lanix_X120c_TELCEL_SW_11_V24_20200926_SPD.zip,704 MB,https://drive.google.com/file/d/1itGyOPdHjsQEzI-WFNvuxFAHsy5AMxLO/view
Lanix X230,Lanix_X230_TELCEL_SW_11_V35_20201215_SPD.zip,720 MB,https://drive.google.com/file/d/1CUo9wsyu2R4_hXyIGlegwpwYWsQ8GBFQ/view
Lanix X540,Lanix_X540_TELCEL_SW_01_V01_20190420_SPD.zip,778 MB,https://drive.google.com/file/d/1QGXGO4ErjMggtXi7FfLxEgFHYntwb5l9/view
Lanix X230A,Lanix_X230A_CLARO_CO_SW_01_V04_20180612_8.1_SPD.zip,650 MB,https://drive.google.com/file/d/1ofeqfZctv9ZgBEK2zcN1H8ohdn6bTnt7/view
Lanix X550,Lanix_X550_SP7731E_SW_V01_20200403_SPD.zip,1 GB,https://drive.google.com/file/d/1YyKtL-OvoHcVJL9lXGKOdao-W_IgoifF/view
Lanix X560,Lanix_X560_OPEN_SW_05_20210524_11_SPD.zip,1 GB,https://drive.google.com/file/d/11kcRBmCHYzJol71n3FwD-jeXGN_1h8WI/view
Lanix Ilium M9S,Lanix_Ilium_M9S_Telcel_SW_04_V19_20200114_SPD.zip,2 GB,https://drive.google.com/file/d/1DdKWY3RDA7nQ2Y7XsEhAwUNYTbrS_pFs/view
Lanix Ilium Pad E7,Lanix_Ilium_Pad_E7_MSM8625_CLARO_CO_SW_01_V37_20131113_4.1.2_QPST.zip,305 MB,https://drive.google.com/file/d/1FYCoT35fSHiTGRDbu_0EDQP00gVNoKIt/view
Lanix Ilium Pad E8,Lanix_Ilium_Pad_E8_MT8163_V6_20170518_7.0.zip,1.23 GB,https://drive.google.com/file/d/1J5U4H9XSbbyQXTVcIxGZ6zjaSjKQcFA7/view
Lanix Ilium Pad E9,Lanix_Ilium_Pad_E9_V8_SW_03_20190520_RBT.zip,833 MB,https://drive.google.com/file/d/1MBKheSplCdwjgyG-YLjqJOM7hLVf0Izw/view
Lanix Ilium Pad L8,Lanix_Ilium_Pad_L8_Telcel_V1.1.9.0_20150716_QPST.zip,795 MB,https://drive.google.com/file/d/1-utS-5do-Yfj2FEmS70_B8-2PuJPII2H/view
Lanix Ilium Pad RX7,Lanix_Ilium_Pad_RX7_SW_02_20190411_RBT.zip,830 MB,https://drive.google.com/file/d/1dk0mtvlY9NhawWEeUTZV2zw-cd_YrcZX/view
Lanix Ilium Pad RX8,Lanix_Ilium_Pad_RX8_SC7731E_V1.0_20201119_10_SPD.zip,904 MB,https://drive.google.com/file/d/1lTglBp67oBn18JsWfzdP-NoY-tao8N7c/view
Lanix Ilium Pad RX10,Lanix_Ilium_Pad_RX10_SW_05_20190420_RBT.zip,1 GB,https://drive.google.com/file/d/1rxSY9Qp7TwolZj4g10zAD_BFVkxmnx4Z/view
Lanix Ilium Pad T7,Lanix_Ilium_Pad_T7_Telcel_V1.1_20141021_9.0_QPST.zip,507 MB,https://drive.google.com/file/d/1mWUaqlJWfuOcc39iItriS5bCFA5juRFt/view
Lanix Ilium Pad X8,Lanix_Ilium_Pad_X8_MT6580_TELCEL_SW_01_V01_20181122_8.1.zip,672 MB,https://drive.google.com/file/d/1feHgyhWp1XhwgpdA9gAsz7UbeABKicnj/view
Lanix Ilium X700,Lanix_Ilium_X700_MT6582_TELCEL_SW_01_V15_20150402_4.4.2.zip,694.6 MB,https://drive.google.com/file/d/15FwuoxVQhnuMNwZ38oMLK98qwvk1FKy6/view
Lanix Ilium X520,Lanix_Ilium_X520_MT6580_CLARO_CO_SW_05_V13_20190508.zip,1.36 GB,https://drive.google.com/file/d/13PgNJJQpTokMqczOCrftHhmqdjGZeGtU/view
Lanix Ilium X250,Lanix_Ilium_X250_MT6580_CLARO_SW_01_V19_20160525_5.1.zip,1.02 GB,https://drive.google.com/file/d/1bfP6MGlA2myY0mcvszcANj_yfGBzCf9c/view
Lanix Ilium L1300,Lanix_Ilium_L1300_MSM8937_Telcel_SW_01_V27_20170206_QPST.zip,1.80 GB,https://drive.google.com/file/d/17jo31gD1i8JXnDI3mPphNXUYpsskhdof/view
Lanix Ilium L1400,Lanix_Ilium_L1400_MSM8937_Telcel_SW_01_V13_20170810_QPST.zip,2.53 GB,https://drive.google.com/file/d/18hNlJp99RC6pYGUlKscalw4yG5GHmVzv/view
Lanix Ilium L1500,Lanix_Ilium_L1500_MSM8953_OPEN_SW_01_V04_20170516_QPST.zip,1.92 GB,https://drive.google.com/file/d/1DaInQB-YgJMqw1421WBSOQMAXuIuqvRQ/view
Lanix Ilium LT500,Lanix_Ilium_LT500_MSM8909_CLARO_SW_01_V12_20150928_QPST.zip,1014 MB,https://drive.google.com/file/d/1zNCh-Lo2W9cJYxDPVQ0sun51XCSwSg_r/view
Lanix Ilium LT520,Lanix_Ilium_LT520_MT6737M_CLARO_CO_SW_08_V20_20190508.zip,1.55 GB,https://drive.google.com/file/d/1vG1lMBRhBU2Uo0VuHAz8VYQObr2G7W1Z/view
Lanix Ilium M5,Lanix_Ilium_M5_MT6739_Telcel_SW_11_V26_20200225.zip,785 MB,https://drive.google.com/file/d/1bgHsXa7Ptua0fTQ2HSIIZCxhh9ncXBTY/view
Lanix Ilium M7,Lanix_Ilium_M7_MT6580_20181129.zip,775 MB,https://drive.google.com/file/d/1azdeBrkFHwVHGpvGSO3JnsG_fStutYuD/view
Lanix Ilium M7T,Lanix_Ilium_M7T_MT6739_OPEN_SW_09_20210514_10.zip,1.34 GB,https://drive.google.com/file/d/15IqBH6vmHmIjNEYA4BfPjOmz3aPAqAds/view
Lanix Ilium M7V,Lanix_Ilium_M7V_OPEN_SW_09_20210707_SPD.zip,1.24 GB,https://drive.google.com/file/d/1UJZrscVn84vGS9hLWXjbNKFXZMY1zhne/view
Lanix Ilium M8,Lanix_Ilium_M8_OPEN_SW_01_V09_20190627_SPD.zip,1.72 GB,https://drive.google.com/file/d/1y1OpO4fWxvE6XpGmsl6R62RkTVL_T2Pv/view
Lanix Alpha 1V,Lanix_Alpha_1V_SW_01_20210423_SPD.zip,1.26 GB,https://drive.google.com/file/d/1LD6J478LCfPcQYF9IOheeIPT2CZ0aVjP/view
